1,白夜行,东野圭吾,978-84-01-56346-7,悬疑小说,100
88,战争与和平,列夫·托尔斯泰,978-83-619-18732-7,历史小说,105
89,哈利·波特与魔法石,J.K.罗琳,978-30-426-74912-4,传记,110
90,三体,刘慈欣,978-18-920-61943-5,科幻小说,115
91,岛上书店,加布瑞埃拉·泽文,978-75-832-48721-6,现实主义小说,120
92,小王子,圣埃克苏佩里,978-30-629-48732-8,童话,85
93,红楼梦,曹雪芹,978-34-615-72918-7,古典小说,90
94,围城,钱钟书,978-42-810-72918-9,悬疑小说,95
95,荆棘鸟,科尔普兰,978-93-518-61943-0,悬疑小说,100
96,红与黑,司汤达,978-56-927-41368-6,历史小说,105
97,哈姆雷特,莎士比亚,978-46-729-81528-1,戏剧,110
98,鲁滨逊漂流记,笛福,978-30-426-74912-4,冒险小说,115
99,简爱,夏洛蒂·勃朗特,978-84-615-23784-5,爱情小说,120
100,基督山伯爵,大仲马,978-75-832-48721-6,历史小说,85
101,银河铁道之夜,宫泽贤治,978-3-16-148410-0,童话,20
